
Inspected Vertex: 29
Time,v(m)
0,-0.000248076
25,-0.000296455
50,-0.00031198
75,-0.000321036
100,-0.000327388
125,-0.000332376
150,-0.000336559
175,-0.000340199
200,-0.000343431
225,-0.000346333
250,-0.000348955
275,-0.000351329
300,-0.000353484
325,-0.000355442
350,-0.00035722
375,-0.000358836
400,-0.000360306
425,-0.000361641
450,-0.000362855
475,-0.000363959
500,-0.000364963
525,-0.000365875
550,-0.000366704
575,-0.000367458
600,-0.000368144
625,-0.000368767
650,-0.000369333
675,-0.000369848
700,-0.000370317
725,-0.000370742
750,-0.000371129
775,-0.000371481
800,-0.000371801
825,-0.000372092
850,-0.000372356
875,-0.000372596
900,-0.000372815
925,-0.000373013
950,-0.000373194
975,-0.000373358
1000,-0.000373507
1025,-0.000373643
1050,-0.000373766
1075,-0.000373878
1100,-0.00037398
1125,-0.000374073
1150,-0.000374157
1175,-0.000374234
1200,-0.000374303
1225,-0.000374367
1250,-0.000374424
1275,-0.000374477
1300,-0.000374524
1325,-0.000374567
1350,-0.000374607
1375,-0.000374643
1400,-0.000374675
1425,-0.000374705
1450,-0.000374731
1475,-0.000374756
1500,-0.000374778
1525,-0.000374798
1550,-0.000374817
1575,-0.000374833
1600,-0.000374848
1625,-0.000374862
1650,-0.000374875
1675,-0.000374886
1700,-0.000374896
1725,-0.000374906
1750,-0.000374914
1775,-0.000374922
1800,-0.000374929
1825,-0.000374936
1850,-0.000374942
1875,-0.000374947
1900,-0.000374952
1925,-0.000374956
1950,-0.00037496
1975,-0.000374964
2000,-0.000374967
