
Inspected Vertex: 49
Time,v(m)
0,-0.000248076
25,-0.000296352
50,-0.000311849
75,-0.000320902
100,-0.000327259
125,-0.000332255
150,-0.000336446
175,-0.000340094
200,-0.000343334
225,-0.000346243
250,-0.00034887
275,-0.000351251
300,-0.000353411
325,-0.000355374
350,-0.000357157
375,-0.000358778
400,-0.000360251
425,-0.000361591
450,-0.000362809
475,-0.000363916
500,-0.000364923
525,-0.000365838
550,-0.00036667
575,-0.000367426
600,-0.000368114
625,-0.00036874
650,-0.000369308
675,-0.000369825
700,-0.000370295
725,-0.000370722
750,-0.000371111
775,-0.000371464
800,-0.000371785
825,-0.000372077
850,-0.000372343
875,-0.000372584
900,-0.000372803
925,-0.000373003
950,-0.000373184
975,-0.000373349
1000,-0.000373499
1025,-0.000373635
1050,-0.000373759
1075,-0.000373872
1100,-0.000373974
1125,-0.000374068
1150,-0.000374152
1175,-0.000374229
1200,-0.000374299
1225,-0.000374363
1250,-0.000374421
1275,-0.000374473
1300,-0.000374521
1325,-0.000374565
1350,-0.000374604
1375,-0.00037464
1400,-0.000374673
1425,-0.000374703
1450,-0.00037473
1475,-0.000374754
1500,-0.000374776
1525,-0.000374797
1550,-0.000374815
1575,-0.000374832
1600,-0.000374847
1625,-0.000374861
1650,-0.000374874
1675,-0.000374885
1700,-0.000374896
1725,-0.000374905
1750,-0.000374914
1775,-0.000374922
1800,-0.000374929
1825,-0.000374935
1850,-0.000374941
1875,-0.000374946
1900,-0.000374951
1925,-0.000374956
1950,-0.00037496
1975,-0.000374963
2000,-0.000374967
