
Inspected Vertex: 15
Time,v(m)
0,-0.000248076
25,-0.000296361
50,-0.000311873
75,-0.000320934
100,-0.000327295
125,-0.000332291
150,-0.000336481
175,-0.000340127
200,-0.000343364
225,-0.000346272
250,-0.000348897
275,-0.000351276
300,-0.000353435
325,-0.000355396
350,-0.000357178
375,-0.000358797
400,-0.000360269
425,-0.000361607
450,-0.000362824
475,-0.00036393
500,-0.000364936
525,-0.00036585
550,-0.000366681
575,-0.000367437
600,-0.000368124
625,-0.000368749
650,-0.000369317
675,-0.000369833
700,-0.000370302
725,-0.000370729
750,-0.000371117
775,-0.00037147
800,-0.00037179
825,-0.000372082
850,-0.000372347
875,-0.000372588
900,-0.000372807
925,-0.000373006
950,-0.000373188
975,-0.000373352
1000,-0.000373502
1025,-0.000373638
1050,-0.000373762
1075,-0.000373874
1100,-0.000373976
1125,-0.000374069
1150,-0.000374154
1175,-0.000374231
1200,-0.000374301
1225,-0.000374364
1250,-0.000374422
1275,-0.000374475
1300,-0.000374522
1325,-0.000374566
1350,-0.000374605
1375,-0.000374641
1400,-0.000374674
1425,-0.000374703
1450,-0.00037473
1475,-0.000374755
1500,-0.000374777
1525,-0.000374797
1550,-0.000374816
1575,-0.000374832
1600,-0.000374848
1625,-0.000374861
1650,-0.000374874
1675,-0.000374886
1700,-0.000374896
1725,-0.000374905
1750,-0.000374914
1775,-0.000374922
1800,-0.000374929
1825,-0.000374935
1850,-0.000374941
1875,-0.000374947
1900,-0.000374951
1925,-0.000374956
1950,-0.00037496
1975,-0.000374963
2000,-0.000374967
